TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
25        3         4         16        0         5         9         21        12        
25        53        10        15        0         15        0         15        0         
25        54        11        14        0         14        0         14        0         
84        36        41        18        0         25        66        43        27        
102       9         10        30        25        62        10        92        16        
102       66        74        26        0         28        0         28        0         
102       67        75        25        0         27        0         27        0         
126       6         7         35        18        84        7         119       35        
134       4         4         52        0         78        4         130       85        
168       27        32        34        0         102       87        136       35        
182       1         3         50        0         129       3         179       22        
182       51        3         50        0         179       0         179       0         
182       55        13        40        0         169       0         169       0         
201       5         6         44        0         151       19        195       67        
207       49        55        94        0         58        110       152       102       
207       70        112       93        0         86        198       95        0         
207       74        201       90        0         6         0         6         0         
207       75        202       89        0         5         0         5         0         
207       71        114       91        0         93        0         93        0         
215       10        11        17        0         187       14        204       44        
245       11        11        28        22        206       12        234       106       
245       68        100       23        0         145       0         145       0         
245       69        101       22        0         144       0         144       0         
267       33        38        20        19        209       38        229       37        
272       76        215       41        0         16        228       57        0         
272       78        228       41        0         44        0         44        0         
272       79        230       39        0         42        0         42        0         
314       80        277       36        0         1         278       37        0         
314       82        281       33        0         33        0         33        0         
314       83        283       31        0         31        0         31        0         
334       44        51        76        0         207       93        283       63        
334       72        129       64        0         205       0         205       0         
334       73        131       62        0         203       0         203       0         
349       12        11        71        0         267       11        338       35        
350       85        318       31        0         1         319       32        0         
350       86        319       31        0         31        0         31        0         
350       87        321       29        0         29        0         29        0         
355       41        48        83        0         224       62        307       24        
360       21        25        45        36        290       51        335       55        
360       77        216       40        0         106       273       144       0         
360       81        279       34        0         58        315       81        0         
360       84        315       34        0         45        0         45        0         
387       61        50        69        0         268       56        337       0         
387       63        59        66        0         328       0         328       0         
387       65        63        62        0         324       0         324       0         
392       56        27        25        0         340       29        365       0         
392       57        32        22        0         360       0         360       0         
392       58        33        21        0         359       0         359       0         
405       60        43        12        0         350       393       362       0         
405       89        394       11        0         2         395       11        0         
405       91        403       3         0         2         0         2         0         
405       90        396       9         0         9         0         9         0         
417       52        6         29        0         382       26        411       0         
417       59        40        15        0         377       0         377       0         
433       46        53        52        0         328       165       380       89        
488       62        52        67        0         369       418       436       0         
488       92        423       65        0         65        0         65        0         
