TT        PID       AT        CT        IO_D      WT        RT        TRT       Deadline
29        8         14        84        0         3         14        15        43        
29        78        17        81        0         12        0         12        0         
29        79        18        80        0         11        0         11        0         
55        30        33        22        0         0         33        22        53        
55        85        36        19        0         19        0         19        0         
55        87        43        12        0         12        0         12        0         
87        70        69        17        0         1         69        18        54        
90        7         12        27        19        51        23        78        65        
90        90        83        7         0         7         0         7         0         
90        91        85        5         0         5         0         5         0         
104       21        27        77        0         0         27        77        106       
104       84        32        72        0         72        0         72        0         
104       86        36        68        0         68        0         68        0         
106       43        46        21        0         39        47        60        79        
116       36        39        16        7         61        49        77        62        
121       65        66        42        0         13        79        55        74        
121       92        91        30        0         30        0         30        0         
121       94        93        28        0         28        0         28        0         
126       97        113       12        0         1         114       13        0         
126       98        119       7         0         7         0         7         0         
132       34        36        41        0         55        39        96        57        
155       54        52        34        0         69        58        103       13        
160       16        22        37        0         101       27        138       85        
160       9         14        44        0         102       14        146       46        
162       4         6         73        0         83        6         156       22        
162       76        14        65        0         104       30        148       0         
162       82        31        64        0         131       0         131       0         
162       83        32        63        0         115       146       130       0         
162       107       148       61        0         14        0         14        0         
162       110       153       56        0         9         0         9         0         
162       80        18        61        0         144       0         144       0         
188       25        30        26        11        132       67        158       43        
192       63        64        64        0         64        64        128       16        
192       99        122       49        0         68        123       70        0         
192       101       130       42        0         41        131       62        0         
192       103       135       38        0         52        136       57        0         
192       104       136       37        0         56        0         56        0         
195       37        40        44        0         111       43        155       77        
211       14        20        62        15        129       20        191       82        
211       81        22        60        0         189       0         189       0         
222       41        43        28        0         151       125       179       99        
225       112       159       62        0         4         162       66        0         
225       113       163       61        0         6         164       62        0         
225       115       170       57        0         55        0         55        0         
225       117       173       54        0         52        0         52        0         
225       114       168       56        0         3         169       57        0         
225       116       172       53        0         53        0         53        0         
225       118       192       33        0         33        0         33        0         
227       49        49        29        0         149       91        178       33        
236       11        17        32        3         187       17        219       51        
246       42        45        47        17        154       45        201       49        
250       52        52        18        18        180       52        198       75        
253       32        35        22        0         196       43        218       84        
259       45        49        22        7         188       56        210       47        
259       96        111       14        0         148       0         148       0         
271       100       127       43        0         101       228       144       0         
271       120       228       43        0         43        0         43        0         
271       123       235       36        0         36        0         36        0         
272       20        25        45        12        202       25        247       65        
275       33        36        29        10        210       36        239       20        
279       19        25        71        0         183       25        254       11        
283       6         10        32        6         241       10        273       58        
287       38        41        57        11        189       54        246       10        
298       48        49        16        20        233       61        249       72        
307       17        22        58        0         227       25        285       89        
307       88        58        54        0         249       0         249       0         
307       89        62        50        0         245       0         245       0         
314       72        5         98        0         211       105       309       0         
314       106       148       96        0         150       149       166       0         
314       108       149       96        0         77        226       165       0         
314       119       228       94        0         86        0         86        0         
314       121       232       90        0         55        233       82        0         
314       122       234       89        0         80        0         80        0         
314       124       235       88        0         79        0         79        0         
314       111       154       91        0         160       0         160       0         
314       109       152       92        0         162       0         162       0         
326       3         6         30        7         290       6         320       32        
326       74        7         29        0         308       315       319       0         
326       130       322       22        0         4         0         4         0         
326       75        8         28        0         318       0         318       0         
333       59        58        50        0         225       91        275       37        
333       93        93        48        0         240       0         240       0         
333       95        98        43        0         218       127       235       0         
333       102       131       39        0         193       132       202       0         
333       105       137       34        0         196       0         196       0         
355       15        22        35        8         298       22        333       97        
382       67        67        53        0         262       79        315       24        
382       61        61        53        12        268       61        321       15        
388       62        62        36        12        290       62        326       80        
397       69        69        32        5         296       114       328       85        
408       134       334       71        0         3         335       74        0         
408       136       338       68        0         70        0         70        0         
408       137       350       56        0         3         351       58        0         
408       138       353       54        0         55        0         55        0         
408       139       360       47        0         48        0         48        0         
419       5         8         83        13        328       8         411       14        
426       56        53        49        6         324       336       373       105       
443       27        32        68        12        343       67        411       61        
446       18        24        56        7         366       24        422       68        
